formula,GGA_Eg,pred_Eg,pred_Eg_std,predicted_non_metal,is_false_metal_rescued,formation_energy_per_atom,tolerance_factor,pb_fraction
Ba2TaInO6,4.052,4.26282000000002,0.5739590992396587,1,0,-3.085878815,0.91723757,0.0
Ba2TaMnO6,1.1694,2.5749300000000024,1.2131299786502698,1,0,-3.082834088,0.967434651,0.0
Ba2TaTlO6,2.4628,3.4486799999999995,1.2243203247516559,1,0,-2.825873931,0.899210936,0.0
Ba2TbBiO6,1.8275,2.7560199999999915,1.172433818857168,1,0,-2.836474164,0.867518915,0.0
Ba2TbIrO6,0.0,1.6899000000000006,1.1154867950809624,1,1,-2.779953457,0.905913649,0.0
Ba2TbMoO6,0.0,2.017740000000004,1.0751107349478009,1,1,-3.068906014,0.897550726,0.0
Ba2TbNbO6,2.9923,3.4415799999999996,0.6919324414998915,1,0,-3.461004728,0.891379165,0.0
Ba2TbReO6,0.0,1.7882700000000014,1.1357203252121537,1,1,-3.042130935,0.903808342,0.0
Ba2TbSbO6,3.5148,3.538499999999998,1.0173834822720467,1,0,-3.09353049,0.899626948,0.0
Ba2TbSnO6,0.0,2.2945699999999993,0.9888589712896354,1,1,-2.916218462,0.915079364,0.0
Ba2TbTaO6,3.513,3.555359999999996,0.7557251288663092,1,0,-3.581678253,0.891379165,0.0
Ba2TbWO6,1.7174,2.940449999999994,1.1040170956556792,1,0,-3.141374121,0.895484066,0.0
Ba2TiFeO6,0.0,1.0627699999999982,0.7628708783929308,1,1,-2.873835264,0.970257912,0.0
Ba2TiMnO6,1.2929,2.505660000000008,0.8822068716576648,1,0,-2.982265661,0.988332223,0.0
Ba2TiOF6,3.9638,3.8638,1.0914880299847538,1,0,-4.0088226,0.864331208,0.0
Ba2TiVS6,0.0,1.928760000000006,0.49776024590157875,1,1,-1.898443123,0.927305501,0.0
Ba2TlSbO6,0.0,1.99679,1.090584497368269,1,1,-2.291548647,0.90760497,0.0
Ba2TmMoO6,0.0,2.010080000000004,1.1474026292457247,1,1,-3.111340264,0.906547155,0.0
Ba2TmNbO6,2.8577,3.5339500000000017,0.7124456803855307,1,0,-3.502344185,0.900251689,0.0
Ba2TmReO6,0.0,1.8060900000000022,1.1769359633811871,1,1,-3.081470857,0.91293129,0.0
Ba2TmRuO6,0.0806,2.59545,1.186519973493914,1,1,-2.886474623,0.916157196,0.0
Ba2TmTaO6,3.4065,3.7380799999999983,0.7873999705359385,1,0,-3.623508034,0.900251689,0.0
Ba2UBeO6,1.7668,3.0915299999999974,1.195484298976778,1,0,-3.239700176,1.145230218,0.0
Ba2UCdO6,1.8841,2.839329999999997,1.1325880103108983,1,0,-3.120914547,0.868099843,0.0
Ba2UCoO6,0.0,1.2009099999999995,0.9747272551334537,1,1,-3.038678347,0.930403659,0.0
